Country Name,Country Code,2018
Aruba,ABW,3202188606.92893
Africa Eastern and Southern,AFE,984032027895.521
Afghanistan,AFG,18353881129.5246
Africa Western and Central,AFW,738131279381.972
Angola,AGO,101353230784.594
Albania,ALB,15147020535.3869
Andorra,AND,3218316013.22626
Arab World,ARB,2758001019806.72
United Arab Emirates,ARE,422215043594.282
Argentina,ARG,517626700412.885
Armenia,ARM,12457941907.0333
American Samoa,ASM,641000000
Antigua and Barbuda,ATG,1605351851.85185
Australia,AUS,1432881172002.17
Austria,AUT,454872626780.005
Azerbaijan,AZE,47112941176.4706
Burundi,BDI,3036937141.27062
Belgium,BEL,543410654016.602
Benin,BEN,14250987026.0533
Burkina Faso,BFA,16059910870.6239
Bangladesh,BGD,274038973437.275
Bulgaria,BGR,66230155099.5775
Bahrain,BHR,37652500000
"Bahamas, The",BHS,13022100000
Bosnia and Herzegovina,BIH,20183510561.2553
Belarus,BLR,60031262269.3365
Belize,BLZ,1915899786.96407
Bermuda,BMU,7224329000
Bolivia,BOL,40287647930.5355
Brazil,BRA,1916947014067.55
Barbados,BRB,5086500000
Brunei Darussalam,BRN,13567351175.0315
Bhutan,BTN,2446866404.93058
Botswana,BWA,18663265549.0196
Central African Republic,CAF,2220979144.52018
Canada,CAN,1721853332869.63
Central Europe and the Baltics,CEB,1644174835271.96
Switzerland,CHE,735889205256.251
Channel Islands,CHI,11514605842.3369
Chile,CHL,297571693064.212
China,CHN,13894817549380.3
Cote d'Ivoire,CIV,58011466450.8643
Cameroon,CMR,38694156862.9922
"Congo, Dem. Rep.",COD,46831342212.5473
"Congo, Rep.",COG,13642740884.1356
Colombia,COL,334198214706.209
Comoros,COM,1178530633.81547
Cabo Verde,CPV,1966983316.32593
Costa Rica,CRI,62335931464.4979
Caribbean small states,CSS,75432216540.9218
Cuba,CUB,100050000000
Curacao,CUW,3127908044.69274
Cayman Islands,CYM,5522625585.0234
Cyprus,CYP,25309818138.8758
Czech Republic,CZE,248950103352.137
Germany,DEU,3961831911429.22
Djibouti,DJI,3012820409.63313
Dominica,DMA,551074074.074074
Denmark,DNK,356879499797.896
Dominican Republic,DOM,85555378042.8196
Algeria,DZA,175414987760.927
East Asia & Pacific (excluding high income),EAP,16586777101494.7
Early-demographic dividend,EAR,11457073674938.5
East Asia & Pacific,EAS,26352450117702.2
Europe & Central Asia (excluding high income),ECA,3421588877159.18
Europe & Central Asia,ECS,23155657495410.9
Ecuador,ECU,107562008000
"Egypt, Arab Rep.",EGY,249712999437.254
Euro area,EMU,13678330614580.3
Eritrea,ERI,2026774968
Spain,ESP,1421459363680.67
Estonia,EST,30616184212.1592
Ethiopia,ETH,84269348327.3454
European Union,EUU,15956518442929.4
Fragile and conflict affected situations,FCS,1796279850832.3
Finland,FIN,275849574507.692
Fiji,FJI,5581393120.62853
France,FRA,2786502569559.77
Faroe Islands,FRO,3051341335.9516
"Micronesia, Fed. Sts.",FSM,401932300
Gabon,GAB,16862282413.8778
United Kingdom,GBR,2857316524862.61
Georgia,GEO,17599700090.762
Ghana,GHA,65315955122.8077
Gibraltar,GIB,13513809258.2083
Guinea,GIN,11857030336.5274
"Gambia, The",GMB,1670670668.5939
Guinea-Bissau,GNB,1504630120.99275
Equatorial Guinea,GNQ,13097012189.3995
Greece,GRC,212146107548.996
Grenada,GRD,1168696296.2963
Greenland,GRL,3051626389.63671
Guatemala,GTM,73208583758.9105
Guam,GUM,6051000000
Guyana,GUY,4787635821.46116
High income,HIC,54405284903699.9
"Hong Kong SAR, China",HKG,361691522612.745
Honduras,HND,24067778953.842
Heavily indebted poor countries (HIPC),HPC,764543929212.911
Croatia,HRV,61375222347.0256
Haiti,HTI,15965670198.4548
Hungary,HUN,160431092908.646
IBRD only,IBD,30647536029554.4
IDA & IBRD total,IBT,32869215496332.8
IDA total,IDA,2228356756468.43
IDA blend,IDB,959604463467.898
Indonesia,IDN,1042271531011.99
IDA only,IDX,1271203826064.25
Isle of Man,IMN,7491969312.87525
India,IND,2701111782774.57
Ireland,IRL,385967106117.099
"Iran, Islamic Rep.",IRN,294356680624.658
Iraq,IRQ,212271807144.367
Iceland,ISL,26224228693.3954
Israel,ISR,370455651179.958
Italy,ITA,2091117091124.1
Jamaica,JAM,15730793852.7913
Jordan,JOR,42932112676.0563
Japan,JPN,4954806619995.19
Kazakhstan,KAZ,179339994859.384
Kenya,KEN,87778582964.1388
Kyrgyz Republic,KGZ,8271106196.04265
Cambodia,KHM,24571753583.504
Kiribati,KIR,196737895.995218
St. Kitts and Nevis,KNA,1010822222.22222
"Korea, Rep.",KOR,1724845615629.26
Kuwait,KWT,138182400493.585
Latin America & Caribbean (excluding high income),LAC,4897955761446.68
Lao PDR,LAO,17953786416.1431
Lebanon,LBN,54961275741.5589
Liberia,LBR,3264000000
Libya,LBY,52607888717.9487
St. Lucia,LCA,2065875074.07407
Latin America & Caribbean,LCN,5865831110516.88
Least developed countries: UN classification,LDC,1075615110117.57
Low income,LIC,502363633203.449
Liechtenstein,LIE,6839145106.86164
Sri Lanka,LKA,87954272082.1068
Lower middle income,LMC,7336705281131.43
Low & middle income,LMY,31434957234643.8
Lesotho,LSO,2514146887.91664
Late-demographic dividend,LTE,22535018912642.5
Lithuania,LTU,53696648755.4347
Luxembourg,LUX,70885325883.0941
Latvia,LVA,34399206589.8596
"Macao SAR, China",MAC,55302446577.8879
Morocco,MAR,118096227400.092
Monaco,MCO,7194024563.06094
Moldova,MDA,11456728401.3069
Madagascar,MDG,13614412550.8722
Maldives,MDV,5299773143.69623
Middle East & North Africa,MEA,3388274443930.22
Mexico,MEX,1222348807283.2
Marshall Islands,MHL,221588900
Middle income,MIC,30917603112934.9
North Macedonia,MKD,12679934731.3891
Mali,MLI,17070866299.0945
Malta,MLT,14864712990.1631
Myanmar,MMR,68697759361.231
Middle East & North Africa (excluding high income),MNA,1341059504338.88
Montenegro,MNE,5506767831.83751
Mongolia,MNG,13108769495.7472
Northern Mariana Islands,MNP,1302000000
Mozambique,MOZ,14845870050.7092
Mauritania,MRT,7050987978.12063
Mauritius,MUS,14181930162.4161
Malawi,MWI,9712994564.91596
Malaysia,MYS,358715057123.739
North America,NAC,22340938595869.6
Namibia,NAM,13681065175.4861
New Caledonia,NCL,2682347064.3642
Niger,NER,12846952856.8458
Nigeria,NGA,397190484464.308
Nicaragua,NIC,13025208219.7685
Netherlands,NLD,913597086062.599
Norway,NOR,436999692591.454
Nepal,NPL,33111525182.7133
Nauru,NRU,124021393.690412
New Zealand,NZL,212225726657.864
OECD members,OED,53327471505093.5
Oman,OMN,79788768968.949
Other small states,OSS,443035376761.848
Pakistan,PAK,314567541558.339
Panama,PAN,64928300000
Peru,PER,222574697255.522
Philippines,PHL,346842094174.513
Palau,PLW,280435700
Papua New Guinea,PNG,24109509852.7402
Poland,POL,587408980271.71
Pre-demographic dividend,PRE,1332425550522.63
Puerto Rico,PRI,100925000000
"Korea, Dem. People's Rep.",PRK,1507183828927
Portugal,PRT,242194788533.537
Paraguay,PRY,40225448340.6322
West Bank and Gaza,PSE,16276600000
Pacific island small states,PSS,10648756157.9936
Post-demographic dividend,PST,50345397908613.2
French Polynesia,PYF,3447543137.9415
Qatar,QAT,183334953813.209
Romania,ROU,241457403085.042
Russian Federation,RUS,1657328865709.99
Rwanda,RWA,9640280084.19572
South Asia,SAS,3436884615713.16
Saudi Arabia,SAU,786521831573.333
Sudan,SDN,34522586970.0018
Senegal,SEN,23116699808.1723
Singapore,SGP,375981539145.907
Solomon Islands,SLB,1574599182.64697
Sierra Leone,SLE,4085114794.22324
El Salvador,SLV,26020850000
San Marino,SMR,1655300872.53427
Somalia,SOM,4720727283.20485
Serbia,SRB,50640650221.4622
Sub-Saharan Africa (excluding high income),SSA,1720300618616.64
South Sudan,SSD,11997800760.2242
Sub-Saharan Africa,SSF,1721887825085.79
Small states,SST,529116349460.763
Sao Tome and Principe,STP,412253809.728799
Suriname,SUR,3996247906.19765
Slovak Republic,SVK,105474651206.555
Slovenia,SVN,54135187443.8136
Sweden,SWE,555455371487.089
Eswatini,SWZ,4665424249.06156
Sint Maarten (Dutch part),SXM,1185474860.3352
Seychelles,SYC,1586008999.74841
Syrian Arab Republic,SYR,40405006007.2086
Turks and Caicos Islands,TCA,1113178000
Chad,TCD,11239167048.4916
East Asia & Pacific (IDA & IBRD countries),TEA,16555121218015.4
Europe & Central Asia (IDA & IBRD countries),TEC,4070373079777.92
Togo,TGO,7112200725.00232
Thailand,THA,506611070188.362
Tajikistan,TJK,7765014424.33779
Turkmenistan,TKM,40765428571.4286
Latin America & the Caribbean (IDA & IBRD countries),TLA,5623101122795.78
Timor-Leste,TLS,1559894900
Middle East & North Africa (IDA & IBRD countries),TMN,1324450475281.05
Tonga,TON,489235527.395387
South Asia (IDA & IBRD),TSA,3436884615713.16
Sub-Saharan Africa (IDA & IBRD countries),TSS,1721887825085.79
Trinidad and Tobago,TTO,23679919654.9891
Tunisia,TUN,39770478673.1648
Turkey,TUR,778377023568.884
Tuvalu,TUV,42588164.9731022
Tanzania,TZA,57003713748.2316
Uganda,UGA,32912338571.3403
Ukraine,UKR,130901858421.72
Upper middle income,UMC,23580897831803.5
Uruguay,URY,64515038268.1373
United States,USA,20611860934000
Uzbekistan,UZB,50392607758.2324
St. Vincent and the Grenadines,VCT,811300000
"Venezuela, RB",VEN,482359318767.703
Virgin Islands (U.S.),VIR,3984000000
Vietnam,VNM,245213686369.157
Vanuatu,VUT,914727908.137793
World,WLD,86343514250201.5
Samoa,WSM,821496064.526185
Kosovo,XKX,7942961738.30893
"Yemen, Rep.",YEM,23486269598.9858
South Africa,ZAF,368288939768.322
Zambia,ZMB,26311637646.6539
Zimbabwe,ZWE,19523622341.6133
